doc_id,doc__title,"{activ, school, health}","{air, pollut, qualiti}","{bicycl, cycl, cyclist}","{brt, bus, system}","{bus, servic, oper}","{climat, chang, mitig}","{develop, sustain, plan}","{emiss, carbon, ghg}","{energi, build, consumpt}","{green, build, roof}","{heat, thermal, comfort}","{model, network, optim}","{park, space, price}","{polici, instrument, effect}","{price, congest, road}","{recycl, household, collect}","{toll, lane, link}","{transit, rail, station}","{transport, public, access}","{travel, mode, choic}","{treatment, wastewat, plant}","{urban, land, citi}","{vehicl, electr, charg}","{wast, manag, solid}","{water, heat, suppli}"
WOS:000071014200004,Principle of marginal-cost pricing: How does it work in a general road network?,0.0,0.0,0.0,0.0,0.0,0.0,0.01475978524808,0.0,0.0,0.0,0.0,0.0253794730791596,0.0,0.0,0.0766616752469288,0.0,0.0,0.0,0.0,0.00794163009632473,0.0,0.0,0.0,0.0,0.0
WOS:000071108200001,The rise and fall of the American carpool: 1970-1990,0.0269792719266719,0.0,0.0,0.0,0.0,0.00209547088894776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010090727227676,0.0,0.0,0.00534496040480086,0.0315647125429766,0.0,0.0139042863291085,0.0130019096055815,0.0,0.0
WOS:000071124600002,Microscopic simulation of urban traffic based on cellular automata,0.0,0.0124599198483881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0947378819624621,0.0142814868471192,0.0,0.0155094813160252,0.0,0.0,0.0,0.00846586364736389,0.0,0.0,0.0134519907951585,0.00369265357890894,0.0,0.0
WOS:000071225300004,"General equilibrium vs. optimum, and the allocation of land for transportation in a closed information-oriented city with traffic congestion",0.0,0.0,0.0,0.0,0.00594716917083955,0.0,0.0068315436645118,0.0,0.0,0.0,0.0,0.0253242413233164,0.0,0.0,0.0420622430626733,0.00268910707659369,0.0,0.0,0.0057465938671083,0.00574438873418532,0.0,0.012985878520451,0.0,0.0,0.0
WOS:000071306300006,Experiences from Singapore's Park-and-Ride Scheme (1975-1996),0.0,0.0,0.0,0.0,0.00677324066230002,0.0,0.00654141209873875,0.0,0.0,0.0,0.0,0.0124427940296302,0.0522401840157077,0.0,0.0260586029852934,0.0,0.00143575822478372,0.0,0.0,0.0114211354230958,0.0,0.0,0.0105095472632098,0.00196727379873451,0.0
WOS:000071344100003,"Intergroup interactions in Tibetan macaques at Mt. Emei, China",0.0176859775848051,0.0,0.0,0.0,0.0,0.00250540832298534,0.0145079328781649,0.0,0.0,0.0,0.0016675675662874,0.00404756252190195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00892399595375062,0.0,0.0,0.0,0.0,0.0
WOS:000071367300003,"Solid waste disposal in China - Situation, problems and suggestions",0.0,0.00219949340832553,0.0,0.0,0.0,0.0,0.0,0.00915559346087948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0126763145327265,0.0,0.0,0.00154848626320651,0.0,0.00406626854814135,0.00885840487196875,0.0,0.0847676026966498,0.0
WOS:000071371000011,The status of transportation demand management in Greater Vancouver and energy implications,0.0,0.0,0.0,0.0,0.0,0.0,0.01962489075345,0.00229999223391776,0.00833526040339598,0.0,0.0,0.0,0.00996787899822156,0.0,0.00859431602116614,0.0,0.0,0.0,0.04360190672574,0.0135844752723078,0.0,0.0,0.0,0.0,0.0
WOS:000071439800004,Congestion toll pricing of traffic networks,0.0,0.0,0.0,0.0,0.0,0.0,0.00184104253607361,0.0,0.0,0.0,0.0,0.0346378227091897,0.0,0.0,0.0,0.0,0.133712842924776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WOS:000071738200001,The governance of waste management in urban Tanzania: towards a community based approach,0.0,0.0,0.0,0.0,0.0,0.00558951988079578,0.0311664786690203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018630863313798,0.0,0.0,0.0208473291473862,0.0,0.0575299015455509,0.0
WOS:000071865100007,Increased risk of lung cancer among different types of professional drivers in Denmark,0.0161502501411774,0.0152382926135106,0.0,0.0,0.0144074859548246,0.0,0.00722566395313365,0.0,0.0,0.0,0.0,0.0,0.00205523690035074,0.0,0.0,0.0,0.0,0.0,0.0,0.0127357771456614,0.0,0.0,0.01468614680615,0.0,0.0
WOS:000072032700013,Spatial variations in travel behavior within greater Toronto area,0.0,0.0,0.0,0.0,0.0,0.0,0.00867102830833861,0.0,0.0,0.0,0.00193590356371587,0.0,0.0,0.00217148348460434,0.00816316615233083,0.00826440053707429,0.0,0.0,0.0199299391244281,0.0798732964926369,0.0,0.0336303673005761,0.0,0.0,0.0
WOS:000072238900006,Transport issues and policies in Seoul: an exploration,0.0,0.0,0.0,0.0,0.0,0.0,0.0277014516808737,0.0,0.0,0.0,0.0,0.00810125261958303,0.0,0.0372716975197421,0.0069342488090607,0.0,0.00116015063887573,0.0,0.0437534297471684,0.0,0.0,0.0133593978202113,0.0,0.0027015638448115,0.0
WOS:000072440600021,"Ecological evaluation of long-term application of sewage sludges according to the legislative permissions (Reprinted from Plant nutrition for sustainable food production and environment, 1997)",0.0,0.0,0.0,0.0,0.0,0.0,0.00365961933590585,0.0,0.0,0.0,0.0,0.00161209851756493,0.0,0.0,0.0,0.00954878063715631,0.0,0.0,0.0,0.0,0.1036845537089,0.0,0.0,0.0,0.0
WOS:000072452800015,The catch-22 of congestion pricing,0.00509261320781575,0.0,0.0,0.0,0.0,0.00443994224622874,0.0225998375000401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0264361075303053,0.0,0.0943490795200198,0.0,0.0,0.00788376305044235,0.0,0.0,0.0,0.00130578020694593,0.0
WOS:000072751800002,"The simple, compelling case for PRT",0.00180670613577892,0.0,0.0227503816026961,0.0,0.00736710626839084,0.0,0.00102702154788966,0.0,0.0,0.0,0.0,0.00324328709720081,0.0,0.0,0.0,0.0,0.0,0.0299151171283013,0.0,0.0397377474674762,0.0,0.0125814370900258,0.0,0.0,0.0
WOS:000072751800005,A PRT airport serving a transportation function,0.0,0.0026835751843617,0.0,0.0,0.0336839455474219,0.0,0.00739279110715843,0.0,0.00146365796290308,0.0,0.00231084702985383,0.0078253899588355,0.024222969662616,0.0,0.0,0.0,0.0,0.0,0.0,0.0178428276046077,0.0,0.0,0.0,0.0,0.0
WOS:000072751800009,Solos micro metro,0.00849611231189538,0.0,0.00165699440407889,0.0,0.00168628494908099,0.0,0.0101828355441979,0.0,0.00358885678447032,0.00472456909569894,0.00258414000715392,0.014091397244904,0.0,0.0,0.0,0.0,0.0,0.0179532565754033,0.0142226097570015,0.0,0.0,0.00825250917546488,0.0502717161487852,0.0,0.0
WOS:000072762300002,Transport externalities and optimal pricing and supply decisions in urban transportation: a simulation analysis for Belgium,0.0,0.0,0.0,0.0,0.0140123175980557,0.0,0.0,0.0,0.0,0.0,0.0,0.0397866193582004,0.00140291028420502,0.0,0.0394686337442312,0.0,0.0,0.00707340043916942,0.0422980140187211,0.0,0.0,0.0113210532484878,0.0,0.0,0.00905592183042895
WOS:000072766000009,The impact of consumer behavior on residential energy demand for space heating,0.0,0.00299707466842782,0.0,0.0,0.0,0.0,0.0,0.00966848011304224,0.0679683483435436,0.0,0.0429681617416172,0.0,0.0,0.00848374231965393,0.00689477354037952,0.00732762897880877,0.0,0.0,0.0,0.00551125282578022,0.0,0.0,0.0,0.0,0.0
WOS:000072817300006,Suburban attitudes toward policies aimed at reducing solo driving,0.0,0.00731567212456119,0.0,0.0,0.00216431984081982,0.00850348022443515,0.00791344078492837,0.0,0.0,0.0,0.0,0.0,0.014018459433143,0.0153699162364411,0.0134873365098161,0.0,0.0,0.00664928533355728,0.0,0.0143846820774666,0.0,0.0,0.00766378250415066,0.0,0.0
WOS:000072819900013,How the city devours its children,0.0386321560601601,0.0,0.0,0.0,0.0139889356805798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0285088065727445,0.0,0.0,0.00364669695051625,0.0,0.0,0.0
WOS:000072837900002,Study of the potential savings on energy demand and HVAC energy consumption by using coated glazing for office buildings in Madrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0450245027043878,0.0,0.0437846534895643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0245195942376154,0.0,0.0
WOS:000073003900005,Landfill as a future waste management option in England: the view of landfill operators,0.0,0.0,0.0,0.0,0.0,0.0,0.0226054471483337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0194442455129905,0.0,0.0,0.00323770066485258,0.0,0.0113453625036718,0.0,0.0,0.0945301873909932,0.0
WOS:000073061000002,Drinking and driving in an urban setting in Kenya,0.0191862380796956,0.00519559582640999,0.0,0.0,0.0102641007997079,0.0,0.00535593448490645,0.0,0.0,0.0,0.0,0.0,0.001212933346385,0.0,0.0,0.0,0.0,0.0,0.00930248660834425,0.0248215482946424,0.00251186862110806,0.0,0.0274746982992455,0.0,0.0
WOS:000073066700002,The future of exclusive busways: the Brazilian experience,0.0,0.0,0.0,0.00984455566972262,0.0498637440112674,0.0,0.0233648242420012,0.0,0.0,0.0,0.00244160343411825,0.00642276279053205,0.0,0.0,0.0,0.0,0.0,0.0,0.00773232696467156,0.0,0.0,0.0138514262038573,0.0,0.0,0.0
WOS:000073193500005,Delay at signal-controlled intersection with bus stop upstream,0.0,0.0,0.0,0.0,0.0857274415750697,0.0,0.0,0.0,0.0,0.0,0.0,0.0347740920394161,0.0,0.0,0.00109169614374275,0.0,0.0,0.0,0.0,0.00192215917911473,0.0,0.00236354867451817,0.0,0.0,0.0
WOS:000073248200002,Public finance and transit-oriented planning: New evidence from southern California,0.0,0.0,0.0,0.0,0.0,0.0,0.047652362278556,0.0,0.0,0.0,0.0,0.0,0.0,0.00913380207557363,0.0,0.0,0.0,0.0204634754520636,0.0,0.0227316384275962,0.0,0.0186991476231732,0.0,0.0,0.0
WOS:000073397000003,Recycling in Dorset - an example of successful partnership,0.0,0.0,0.0,0.0,0.0,0.0,0.00456622867185077,0.0,0.0,0.0173837085219578,0.0,0.0,0.0,0.0,0.0,0.150984021495569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0398645557013602,0.0
WOS:000073467500006,Equity analysis of personal transportation system benefits,0.0187357909614599,0.0,0.0,0.0,0.0276311666204418,0.0,0.0181561458229255,0.0,0.0,0.00371209097289085,0.0,0.00158474630349406,0.0,0.00588578434902059,0.00150442593509399,0.00351788424258694,0.0,0.0170047289418424,0.048630717126033,0.00905447095396724,0.0,0.0200840279861496,0.0,0.0,0.0
